"1000","3000","10000","30000","100000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
57600.8,57600.8,57604,57605.8,57600.5,57601,57601,57603.25,57602,57603.75,57603.25,57602.25,57602.5,57602.75,57602.5,57602,57601.75,57602,57604.5,57606.25,57606.5,57607,57606.25,57607,57606,57602.5,57602
57601.5,57601.5,57604,57605.2,57600.5,57601,57601,57599.25,57600.75,57601.75,57602.75,57603,57602.25,57602,57601.5,57601.5,57602,57604,57603.75,57604.25,57605.75,57605.75,57606,57606,57606,57602,57600.5
57600.2,57600.2,57604,57605.2,57600,57600.5,57600.5,57598.25,57598.25,57598.5,57598.25,57598.5,57599.25,57599,57599,57598.75,57598.75,57599,57599.25,57600.5,57599.75,57600.5,57601.5,57601.25,57599.25,57600.5,57588.8
57588.2,57588.2,57591.8,57590.8,57589.2,57588.5,57588.5,57589.25,57588.75,57587.25,57587.75,57587.25,57587,57587,57587.5,57587.5,57588.25,57587.5,57589.75,57589.75,57589.75,57591.25,57591.5,57593.75,57594,57588.8,57603.2
57604,57600.8,57601,57602.5,57607,57604.25,57604.25,57602.25,57604.25,57602.5,57602.5,57603.75,57603.5,57603.5,57602,57603.5,57603.25,57603,57602.75,57602.75,57601,57601.5,57603,57602.75,57601.5,57603.2,57602
57602,57602,57601.2,57601,57603.5,57602.25,57603.5,57601.25,57603,57600.5,57601,57602.75,57602.75,57603.25,57603.25,57600.25,57600.5,57602.25,57602,57600.75,57600,57599.25,57599.25,57598.75,57600,57602,57634.4
57631.2,57634,57634,57633.2,57640.2,57631.5,57634,57633.75,57634.25,57635.75,57636.25,57635.75,57635.75,57635,57635,57635,57634.25,57633.75,57633,57633.75,57634.75,57634.75,57635.25,57634.25,57638,57634.4,57626.8
57628,57629,57626.5,57630.5,57623.8,57628.25,57629,57627,57628.25,57625.75,57626.25,57625.5,57623.5,57623.5,57623.5,57623.25,57623,57622.75,57622.25,57622.25,57622.25,57621.25,57623,57622.75,57624.25,57626.8,57625.6
57624,57623,57626.8,57628,57631,57624,57623,57624,57626.25,57626.75,57627.25,57625.25,57623.5,57623.5,57623.5,57624.25,57621.25,57622,57621.25,57621.75,57620.75,57621.25,57622.25,57623,57622.5,57625.6,57624.7
57624,57624,57626.8,57626.5,57622.5,57624.25,57624.5,57626.75,57624.25,57625,57626.5,57623.75,57623.75,57623.5,57623.5,57624.25,57622.25,57620.75,57620.75,57620,57620.25,57620.25,57620.75,57623,57624.25,57624.7,57604.2
57601.8,57601.8,57604.8,57609.8,57608.8,57602.25,57604.25,57602.25,57603.75,57603.75,57603.5,57603.5,57604,57604,57603.25,57603.25,57603.5,57606.25,57605.75,57607.75,57608.25,57607.5,57607.5,57607,57607.25,57604.2,57603.7
57600,57603.2,57603.2,57605.5,57609.2,57600.25,57603.25,57602.75,57603,57603.75,57603.5,57603.75,57604.75,57604.75,57604.25,57605,57604.5,57604.75,57606,57605.25,57603.75,57604.5,57605.5,57605.75,57605,57603.7,57598.5
57595.5,57597.2,57601,57602.8,57598.8,57595.75,57597.25,57596.75,57597.25,57597.75,57597.5,57599,57600.25,57600,57598.75,57599.5,57599.75,57600,57600.5,57600.25,57598.5,57599.75,57599.75,57599.25,57600.25,57598.5,57570.7
57569,57569.8,57574.2,57572.2,57571,57569,57568,57567,57571,57571.25,57570.5,57570.75,57571.25,57572.5,57573,57574,57573.5,57573.5,57572.25,57571.75,57571.75,57573,57572.75,57571.5,57571.75,57570.7,57566.9
57567,57567,57565,57564.5,57561,57567.25,57567.25,57566,57566.75,57570.5,57571,57570.25,57570.25,57570.25,57570.25,57570,57571.75,57571.75,57572,57572,57572,57572.5,57572.5,57573.75,57574,57566.9,57565.8
57566.8,57566.8,57565,57562.2,57560,57567,57567,57566,57566.75,57566.25,57565,57568.75,57569.5,57569,57568.75,57568.75,57569,57569,57570.25,57571.75,57572.75,57573.25,57574.25,57574.75,57574.75,57565.8,57580
57577.2,57579,57580.2,57582.5,57583.5,57577.25,57577.75,57579.25,57579.25,57581.25,57579.5,57579,57580.5,57580.5,57581.5,57580.25,57580.25,57580.25,57581,57581.25,57580.75,57580.75,57580.25,57580.5,57579,57580,57571.9
57569.2,57569.2,57576,57576,57571.8,57569.5,57569.5,57571.25,57571.25,57571,57571.75,57572,57572.5,57573,57573.75,57573.5,57573.25,57573,57576.25,57576.5,57577.25,57577.5,57577.75,57577,57577,57571.9,57573.2
57573.2,57572,57573.5,57576,57573,57572.25,57573.25,57572,57572.5,57572,57572,57573.5,57575,57575,57574.25,57574.5,57574.5,57573.25,57573,57573.25,57576.5,57576.5,57576.5,57576.5,57576.5,57573.2,57567.5
57562.8,57567,57569.8,57572.8,57566,57563,57567,57566.75,57568.25,57567.5,57568.5,57569.75,57569.75,57570,57569.75,57569.75,57569.75,57569.75,57569.25,57569.25,57568.5,57568.5,57568.25,57567.5,57567.5,57567.5,57569.6
57567.5,57567.5,57570.5,57573.2,57567.2,57567.75,57570,57568.25,57568.5,57569.25,57571.25,57571.25,57572.75,57573,57572.75,57573,57571.5,57572,57572,57573.75,57573,57571.75,57572.5,57572.5,57574,57569.6,57569.9
57568.5,57568.2,57570.5,57572.8,57567.5,57568.75,57570,57568.25,57569.75,57569.75,57570,57571.75,57571.75,57572.75,57573,57573.75,57574.25,57572.5,57572.5,57574,57576,57575.25,57575.25,57575.25,57576.75,57569.9,57569.6
57568.5,57566.8,57570.5,57572.8,57567.5,57568.75,57569.25,57568.25,57569.75,57570.25,57571,57570.75,57572,57572,57572.25,57570.5,57570.75,57571.75,57571.75,57572.75,57575,57575,57575.25,57576.25,57575.5,57569.6,57547.2
57546.8,57546.8,57551,57545.5,57545.5,57546.75,57546.25,57548.25,57548.75,57547,57546,57546.75,57548.25,57548,57548.5,57550.25,57550.5,57550,57550,57549.75,57548.25,57548.25,57553,57552.75,57553,57547.2,57535.4
57530.8,57536.8,57535,57533,57538,57530.75,57536.75,57537,57536.75,57536,57534.75,57537,57539.5,57540,57541.25,57541.25,57541.25,57541.75,57541.5,57541.5,57542.75,57542.75,57542.75,57542.75,57543,57535.4,57534
57531.5,57532,57536.5,57533.2,57539.8,57531.75,57532,57532.75,57534,57533.5,57533.25,57534,57534.5,57534.75,57534.75,57537,57537,57537,57536.75,57538,57537.5,57537.5,57537.25,57537.5,57536.75,57534,57538
57536.5,57536.5,57536.5,57534.8,57540,57536.75,57537,57537,57535.5,57539.25,57540.5,57540,57541,57542.5,57542.75,57543.25,57543.25,57545.5,57545.75,57545,57544,57545.5,57544.25,57546.5,57546.5,57538,57539
57535.5,57538.8,57540,57541.2,57540,57535.25,57535.25,57538.25,57538,57538.5,57538.5,57539.75,57539.75,57542.75,57542.75,57543,57543,57543,57543.5,57543,57542,57543.25,57543.25,57543,57544,57539,57541.6
57543,57543,57542,57539.8,57540,57542.75,57541,57541.25,57541.25,57541.5,57541.5,57541.25,57541.25,57541,57543.75,57543.75,57543.75,57545,57545,57545,57545.75,57545,57544,57544.5,57543,57541.6,57556.2
57556.2,57556.2,57558,57554,57559,57556,57556,57558,57557.5,57554.5,57555.25,57554.75,57555.5,57555.5,57555.5,57555.5,57557.5,57557.5,57557.5,57553.25,57551.25,57552.75,57552.75,57552.75,57553.25,57556.2,57560.4
57561.2,57561.2,57565.5,57562,57560.5,57561,57559.75,57557.25,57556.5,57557.75,57558.5,57558,57559.25,57559.5,57559,57558,57558.25,57558,57556,57556,57556.75,57557.75,57555.5,57555,57554.75,57560.4,57544.9
57545,57545.8,57547.5,57543,57540.8,57545,57545.75,57545.75,57545.25,57545,57545.25,57545.5,57545.25,57546,57547.25,57547,57545.75,57545.75,57546.5,57547.25,57546.5,57547,57547.25,57546.75,57546.25,57544.9,57542.2
57542.2,57543,57545,57543,57540.8,57542,57541.25,57542.75,57539.75,57541,57541,57540.75,57540.5,57541.75,57541.75,57541.75,57542.25,57544.5,57543.75,57543.75,57544.5,57544.75,57545.75,57546.25,57545.5,57542.2,57541.5
57543.5,57541.5,57545.5,57543,57537.8,57543.25,57541.5,57539.5,57542,57540.25,57542.5,57541.25,57539.25,57539,57540,57540.25,57541.75,57541.75,57542,57542.75,57541.75,57541.5,57541.75,57544.25,57544,57541.5,57558
57559.8,57556,57551.5,57558.5,57558.5,57559.75,57562.25,57559.25,57558.5,57558.5,57559,57558.5,57558.25,57559.25,57560.25,57560.25,57559,57559.5,57559,57558.5,57561,57559.5,57558.75,57559.5,57559.25,57558,57561.6
57562,57562,57565.5,57561,57557.8,57561.75,57561.75,57564,57561.5,57560.75,57561,57561,57558.5,57560.25,57560.75,57560.75,57561.25,57561.75,57561.75,57562.25,57564.5,57563.25,57563.5,57562.5,57562.5,57561.6,57589.6
57589.2,57589.2,57589,57589,57592.2,57589,57588.75,57589,57590.25,57589.75,57589,57589,57590.25,57590,57591.5,57593.25,57593.5,57592.75,57592.75,57592.75,57592.25,57591.5,57591.5,57590.5,57590,57589.6,57588
57590.5,57592,57593,57586.8,57591.5,57590.25,57583.5,57583.5,57583.5,57583.75,57585.25,57584.5,57584.25,57584.75,57585.25,57585.75,57586.25,57586.5,57585.5,57586.5,57587,57584.75,57584,57584.75,57582.25,57588,57584
57586.2,57582.5,57584.5,57584.5,57586.5,57586,57582.5,57581.75,57581.25,57581.25,57583.25,57583.5,57582.75,57583,57582.5,57582.5,57583.5,57583.5,57583.25,57583.5,57584.5,57585.25,57585.75,57586.75,57586.75,57584,57594.7
57595,57597.8,57597.8,57595.2,57594,57594.75,57593.5,57596,57593.5,57593,57591.5,57591.75,57592.25,57591.75,57590.75,57590,57590,57590.25,57590.75,57591,57590.25,57591.25,57590.5,57590.25,57593,57594.7,57610.7
57614.2,57614.8,57612,57605.2,57607.5,57614,57613.25,57611.25,57610.25,57611.5,57611.5,57609.75,57609,57607,57608,57608.25,57608.25,57610,57610,57610.5,57609.5,57610.25,57607.75,57609,57609,57610.7,57632.9
57635,57635,57633.8,57629.5,57628.5,57635,57635,57634.5,57634,57632.5,57632.75,57632.5,57632.75,57633,57634.25,57635.25,57635.25,57635,57635.5,57635.5,57635.5,57636.5,57636.25,57636.5,57635.5,57632.9,57634.4
57638,57637.5,57635.8,57630.8,57627,57638,57638.5,57636.25,57634.75,57634,57633.25,57633,57633.5,57633.25,57635,57636.25,57636.5,57637.25,57638.5,57637,57635.75,57636.25,57636.25,57636.75,57636.75,57634.4,57632.3
57631.2,57634,57635.8,57630.8,57626.5,57631.5,57635,57634.75,57634,57633.25,57632.75,57632,57632.25,57633,57632.75,57633,57634.5,57634.5,57635.25,57633.75,57632.75,57633.25,57632.75,57634.25,57634.25,57632.3,57632.5
