"1,000","3,000","10,000","30,000","100,000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
32803,32805.8,32805,32810.5,32811,32805,32803.25,32805.75,32807.5,32805.75,32805.75,32807,32809.25,32810.5,32810.25,32810,32810,32810.5,32810.25,32809.5,32812.25,32812,32811.5,32810.75,32811.5,32806.61,32840.59
32837.8,32837.5,32843.3,32846,32842.3,32838,32837.5,32837.5,32840.75,32841.5,32841.75,32841.25,32841,32840.75,32841.25,32841.25,32841.25,32841,32841,32840.75,32843.5,32844,32843.5,32843.5,32843.75,32840.59,32867.52
32865.8,32866,32876,32871.3,32861.8,32867.5,32866,32865.5,32866,32868.75,32868,32867,32866.75,32866.25,32864.5,32865.5,32863.75,32864.25,32864.75,32865.5,32866,32866.25,32866,32865,32864.5,32867.52,32845.5
32842.5,32846.3,32846.3,32849.3,32848.3,32841.25,32842.5,32843.5,32846,32845,32846.25,32846.5,32846.25,32846.75,32847.75,32847,32845.5,32845.75,32848,32848,32848.25,32848.25,32849.75,32849.5,32850.25,32845.5,32813.69
32813.3,32813.3,32815,32815.5,32815.5,32810.25,32811.25,32812,32812.25,32813.5,32815.25,32815,32815.25,32814.75,32815.5,32816,32816.25,32816.5,32815.5,32815.5,32815,32815.5,32815.75,32816.75,32816.5,32813.69,32781.2
32780.3,32784.3,32784.3,32778.3,32773.5,32780.25,32784.25,32784.5,32785.25,32784.25,32781.25,32781.25,32780.25,32778.75,32778.5,32778.5,32777,32783,32783.25,32783.75,32784.75,32785.25,32785.75,32786.25,32787.25,32781.2,32783.36
32787,32783.5,32781.8,32780,32783.8,32783,32783.25,32783.5,32782.75,32783.25,32784.25,32784.75,32784.25,32784.25,32784.25,32784.25,32784.25,32785,32787,32787,32787.25,32787.25,32787.25,32787.75,32787,32783.36,32761.8
32762.8,32762.8,32759.5,32757.8,32764.3,32762.5,32762.75,32762.25,32761.5,32762.25,32761.5,32760.75,32762.5,32764,32764,32764,32764,32762.75,32761.75,32761.5,32765,32766.25,32767,32768,32768.5,32761.8,32784.7
32785.8,32785.8,32780.3,32784.3,32792.3,32784.5,32780.75,32781,32783.75,32782.5,32783,32786.5,32786.5,32787.25,32787.25,32785.75,32786.5,32786.25,32786.75,32785.5,32787.25,32788,32787.75,32788.25,32789,32784.7,32752.52
32753.3,32751.8,32750,32752.3,32756.3,32752.75,32753,32751.75,32750.5,32751.25,32752,32753,32753.25,32754.25,32754,32753.75,32754.75,32754.75,32757.25,32756.5,32756.5,32755.75,32755.75,32757,32757.5,32752.52,32745.12
